date,all_workers,hourly_workers,non_hourly_workers,less_than_high_school,high_school,some_college,college,construction,finance,manufacturing
03/1/1991,9.1985780282,11.5480785955,6.2396169332,12.0837244692,9.8126108123,8.8863672086,6.8514648594,12.7974369681,7.6310412068,9.0059702887
04/1/1991,9.136452341,11.5780813952,6.0564122357,12.0722546573,10.0139634981,8.744625413,6.6021397656,12.9250549818,7.7051510936,8.4381465056
05/1/1991,9.0760257051,11.5778224032,5.9273714279,12.596168716,9.7468424131,9.0193401439,6.4172569761,13.2179390629,8.6756472996,8.2939963811
06/1/1991,9.2146989374,11.7318146814,6.0235356233,12.5670129199,9.8619024034,9.3020280198,6.3840751693,13.5348095652,8.6638502596,8.3271392937
07/1/1991,9.2804511528,11.9299998327,5.9062281364,13.1076158082,10.0532464305,9.1819770973,6.2856530271,14.5198875173,8.7262766278,8.3194720615
08/1/1991,9.2920878395,11.902030344,6.012489081,13.1730361241,9.9872166847,9.2605373083,6.2548718278,13.9853727976,8.8848093036,8.7250803656
09/1/1991,9.3042039903,11.8582458793,6.102927229,13.0645974149,10.0111218307,9.329151204,6.216177097,14.00208651,8.4970868846,9.0944558697
10/1/1991,9.3937777605,11.9945390244,6.1170361567,13.3477226579,10.2687958688,9.2761570812,6.1925924657,14.3307166552,8.7191903781,9.118071819
11/1/1991,9.397759024,11.9046505588,6.214461082,13.6871138563,10.1132077333,9.3466196922,6.1028480955,14.8463407061,8.3990657958,9.0077477846
12/1/1991,9.4891118911,12.0069987668,6.2778551363,13.5154573047,10.2491516439,9.2653199488,6.3369946849,14.3019254492,8.2781406512,9.2019059303
01/1/1992,9.6263934389,12.0852731123,6.4842023945,13.9867888473,10.3199205185,9.383943398,6.4468205941,14.8187406254,8.2973818844,9.3136907848
02/1/1992,9.8473150676,12.4338207735,6.5580583197,14.4204158832,10.6208847171,9.4406017111,6.6186946751,15.4612527053,8.1261491879,9.6105333282
03/1/1992,9.9424084644,12.5793996996,6.5977296398,14.7448857383,10.6254624334,9.7036396795,6.5957815477,15.4846595771,8.230390792,9.9104088827
04/1/1992,10.0130320447,12.6699200848,6.6645344278,14.5838001073,10.3397678993,10.1203331519,6.9066343849,15.5244332035,8.3433148398,10.2681751096
05/1/1992,10.2183447123,12.8449319282,6.8807154824,14.2899528743,10.7592361306,10.1712442281,7.0409707708,16.4263691015,8.0818175088,10.1590631475
06/1/1992,10.3040605585,12.9949743975,6.9282527588,14.5707603196,10.8522380589,10.1184607663,7.1861935508,15.8362431955,8.3769409187,10.2176982893
07/1/1992,10.3743303651,13.1148498682,6.9169883359,14.6477850892,10.9405446948,10.1539093404,7.1876405438,14.7907036457,8.0677349952,10.1514684591
08/1/1992,10.382995358,13.1940301814,6.8104696348,14.9215783739,10.97178636,10.077043403,7.1277838474,14.9910420756,7.7757341453,9.8748450138
09/1/1992,10.4526706211,13.3109445993,6.8268734395,15.3909739972,11.0505153225,9.8666741969,7.3106819006,15.2097186839,7.7446797963,9.6152952101
10/1/1992,10.4030458816,13.2363820046,6.8062736546,14.6920669753,11.2195994026,9.8106839454,7.2364564163,15.6804451484,7.479324299,9.6356255975
11/1/1992,10.5390904621,13.5735062594,6.6848134844,15.1944272265,11.315662143,10.0414049962,7.3276811732,16.4743997826,7.5472021441,9.637318659
12/1/1992,10.4227979973,13.4310802093,6.5951727074,15.3120050549,11.0218575577,10.2927489205,7.0984067275,16.7374680518,7.5006455178,9.5700283825
01/1/1993,10.4159509324,13.4966293206,6.4720119309,14.7614160526,11.2515549482,10.0595431716,7.1691554133,16.4245190868,7.2136723572,9.6827026998
02/1/1993,10.3614691861,13.3857542586,6.4949446371,14.8228687172,11.2186285044,9.9845787086,7.0858381688,16.1551589523,7.4309287011,9.4417093786
03/1/1993,10.3470611477,13.3729764675,6.4575245036,14.5215920779,11.2105368701,10.1638027637,7.0042232723,16.7670127026,7.5879984213,9.2726726713
04/1/1993,10.3756149315,13.3730713002,6.5092373727,14.7969032604,11.4570215973,9.943011343,6.8423704933,16.9306260964,7.3488416386,9.6748392721
05/1/1993,10.273620693,13.3439327267,6.3355253961,15.3975254431,11.3193343731,9.803962538,6.5858594082,16.2021340083,7.1077116991,9.8074749666
06/1/1993,10.2848891899,13.2771453898,6.3915250956,15.6888386135,11.1870785306,9.9269950632,6.5968554861,16.1028746515,6.9659828267,9.5733416511
07/1/1993,10.2803519157,13.2079490578,6.4837165,15.8602794679,11.1591698058,10.0583102274,6.4376748407,16.9867671845,7.2846297556,9.8268162324
08/1/1993,10.2916347769,13.1566155177,6.5923552767,15.9462954686,11.1979726623,10.2168100795,6.3154735767,16.4717174177,7.1738529463,10.0696307261
09/1/1993,10.2724991725,13.1220999564,6.5638816938,15.7975293338,11.1367975058,10.3080870093,6.3303189691,16.2605350509,7.190996157,10.1146133198
10/1/1993,10.3694953455,13.2423940842,6.6185485397,15.9166503214,10.9734333465,10.6008981579,6.54273382,15.5475554178,7.3244077874,10.6497801729
11/1/1993,10.3384304723,13.1897335767,6.6221988257,15.3632299516,11.142919384,10.3312471191,6.6230747216,14.7575401278,7.4827524315,11.1057265629
12/1/1993,10.4768676873,13.405170046,6.6664828583,15.1244375283,11.4300170295,10.5146441759,6.5922649394,15.0225408448,7.7148568211,10.9487180662
01/1/1994,,,,,,,,,,
02/1/1994,,,,,,,,,,
03/1/1994,,,,,,,,,,
04/1/1994,,,,,,,,,,
05/1/1994,,,,,,,,,,
06/1/1994,,,,,,,,,,
07/1/1994,,,,,,,,,,
08/1/1994,,,,,,,,,,
09/1/1994,,,,,,,,,,
10/1/1994,,,,,,,,,,
11/1/1994,,,,,,,,,,
12/1/1994,,,,,,,,,,
01/1/1995,,,,,,,,,,
02/1/1995,,,,,,,,,,
03/1/1995,,,,,,,,,,
04/1/1995,,,,,,,,,,
05/1/1995,,,,,,,,,,
06/1/1995,,,,,,,,,,
07/1/1995,,,,,,,,,,
08/1/1995,,,,,,,,,,
09/1/1995,,,,,,,,,,
10/1/1995,,,,,,,,,,
11/1/1995,,,,,,,,,,
12/1/1995,,,,,,,,,,
01/1/1996,,,,,,,,,,
02/1/1996,,,,,,,,,,
03/1/1996,,,,,,,,,,
04/1/1996,,,,,,,,,,
05/1/1996,,,,,,,,,,
06/1/1996,,,,,,,,,,
07/1/1996,,,,,,,,,,
08/1/1996,,,,,,,,,,
09/1/1996,,,,,,,,,,
10/1/1996,,,,,,,,,,
11/1/1996,,,,,,,,,,
12/1/1996,,,,,,,,,,
01/1/1997,,,,,,,,,,
02/1/1997,,,,,,,,,,
03/1/1997,,,,,,,,,,
04/1/1997,,,,,,,,,,
05/1/1997,,,,,,,,,,
06/1/1997,,,,,,,,,,
07/1/1997,,,,,,,,,,
08/1/1997,11.2226239938,14.8480876257,6.3303910062,18.2821814942,12.3925064784,11.5759243276,7.4374243356,15.8485183342,10.3835113403,10.5743490593
09/1/1997,11.0200947821,14.5234154335,6.2785349869,18.3714846124,12.2046052167,11.3459296256,7.1812724818,16.3075363692,10.582886247,10.4752399517
10/1/1997,11.1403695073,14.6116706526,6.4357518169,17.3781607756,12.2108304881,11.7803380269,7.4065337666,16.4360124592,10.5403356562,10.6053641283
11/1/1997,11.0644115571,14.2686871805,6.7129543242,17.3520624991,12.0191449454,11.5834635858,7.5064325623,16.3248176235,10.2857432131,10.8813639297
